index,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry
1,"USA",1960,2879,,9.693181,43.8,,,,
1,"USA",1961,2929,1.075182,9.444654,,,,,
1,"USA",1962,3103,1.116071,9.429324,,,,,
1,"USA",1963,3227,1.214128,9.470706,,,,,
1,"USA",1964,3420,1.308615,9.725879,,,,,
1,"USA",1965,3667,1.668461,9.730347,43.8,,,,
1,"USA",1966,3974,2.991,10.09759,,,,,
1,"USA",1967,4154,2.775636,10.2081,,,,,
1,"USA",1968,4494,4.217721,10.59394,,,,,
1,"USA",1969,4805,5.414701,10.63563,,,,,
1,"USA",1970,4999,5.895296,11.38864,44.4,,,,
1,"USA",1971,5362,4.255929,11.36758,,,,,34.50863
1,"USA",1972,5838,3.305615,11.96716,,,,,34.44429
1,"USA",1973,6464,6.220064,13.71356,,,,,34.37521
1,"USA",1974,6951,11.03526,17.31614,,,,,34.03606
1,"USA",1975,7519,9.13193,16.37969,42.6,,,,33.22567
1,"USA",1976,8300,5.737027,16.87366,,,,,33.76085
1,"USA",1977,9146,6.48646,17.22059,,,,,34.26464
1,"USA",1978,10229,7.647464,17.80619,,,,,34.03723
1,"USA",1979,11306,11.26604,19.28055,,,,,33.62648
1,"USA",1980,12186,13.50937,21.08158,62.9,.23884,.24568,22.376,33.51439
1,"USA",1981,13533,10.31553,20.36324,,,,,34.08828
1,"USA",1982,13940,6.160616,18.47162,,,,,32.90969
1,"USA",1983,15008,3.212435,17.62431,,,,,31.49722
1,"USA",1984,16549,4.317269,18.57701,,,,,31.87278
1,"USA",1985,17600,3.561116,17.64241,57.4,,,,30.86452
1,"USA",1986,18439,1.858736,17.95412,,,,,29.44326
1,"USA",1987,19407,3.740876,19.11619,,,,,29.19973
1,"USA",1988,20711,4.009088,20.33082,,,,,29.60649
1,"USA",1989,22047,4.827003,20.73029,,,,,28.61904
1,"USA",1990,23064,5.397956,21.18795,44.4,,,,27.85032
1,"USA",1991,23507,4.234964,21.26635,,,,,26.62006
1,"USA",1992,24509,3.02882,21.54221,,,,,25.72843
1,"USA",1993,25409,2.951657,21.55765,,,,,25.61001
1,"USA",1994,26670,2.607442,22.61822,,,,,26.08295
1,"USA",1995,27574,2.80542,24.27398,44.6,,,,26.29285
1,"USA",1996,28814,2.931204,24.58247,,,,,25.7854
1,"USA",1997,30262,2.33769,25.59154,,,,,25.38429
1,"USA",1998,31519,1.552279,24.69057,,,,,25.01884
